,Gurgiser_avg_45,Climandes_avg_45,Garcia_avg_45,FP_avg_45,JD_avg_45,Bucket_avg_45,Liebmann_avg_45,CookBuckley_avg_45,Gurgiser_std_45,Climandes_std_45,Garcia_std_45,FP_std_45,JD_std_45,Bucket_std_45,Liebmann_std_45,CookBuckley_std_45,Gurgiser_avg_85,Climandes_avg_85,Garcia_avg_85,FP_avg_85,JD_avg_85,Bucket_avg_85,Liebmann_avg_85,CookBuckley_avg_85,Gurgiser_std_85,Climandes_std_85,Garcia_std_85,FP_std_85,JD_std_85,Bucket_std_85,Liebmann_std_85,CookBuckley_std_85
2062,84,48,45,49,47,75,65,122,48,34,23,31,22,28,36,41,83,54,44,41,46,71,64,105,42,42,26,22,17,21,28,31
2063,83,49,45,53,52,77,72,106,33,33,20,30,23,26,30,29,90,55,49,48,47,74,68,109,46,37,29,30,18,27,34,33
2064,82,45,42,53,58,78,73,102,46,34,27,34,26,28,31,34,93,43,49,43,53,75,77,108,43,28,27,26,26,22,37,33
2065,95,57,48,57,57,82,91,109,41,40,25,33,29,28,30,25,88,55,43,54,53,77,72,103,34,33,20,25,27,24,30,33
2066,74,48,44,46,51,73,73,108,46,33,23,31,27,30,31,27,70,44,44,47,49,71,66,99,42,28,22,29,21,23,28,36
2067,73,50,52,49,59,78,73,104,35,25,20,26,23,23,25,27,96,64,63,60,70,88,80,105,34,48,41,37,33,36,34,37
2068,100,50,48,50,51,73,75,108,35,30,15,25,18,24,32,34,86,53,50,53,53,75,67,101,40,33,22,19,20,20,26,35
2069,94,51,40,43,49,69,65,108,38,33,12,20,24,19,31,32,108,54,51,67,60,80,87,110,36,37,30,34,29,25,31,29
2070,88,49,48,56,52,75,76,114,46,33,24,38,22,28,42,31,94,43,49,49,56,74,72,121,46,33,28,35,30,29,37,28
2071,83,43,51,48,53,77,71,103,43,23,21,26,21,19,32,36,81,51,49,45,60,69,72,113,41,37,32,30,34,25,30,35
2072,90,51,48,56,54,80,73,114,46,35,29,32,25,27,33,31,82,50,45,48,51,75,64,106,45,32,26,27,25,25,32,32
2073,84,53,43,55,56,77,73,105,40,43,28,42,27,22,34,37,96,50,48,57,54,75,76,103,43,26,24,26,24,23,23,37
2074,95,51,54,51,52,73,66,109,39,36,30,29,24,24,28,38,83,43,51,45,51,75,70,108,39,26,40,25,19,24,27,38
2075,85,41,37,48,46,69,71,120,40,24,20,30,19,25,29,29,77,51,47,50,59,76,69,109,42,25,21,24,22,22,32,33
2076,67,45,49,46,49,69,63,109,38,29,30,29,23,27,29,37,79,44,48,50,61,72,63,96,42,22,21,24,24,20,30,33
2077,85,42,39,50,49,68,67,109,45,32,22,33,23,21,31,32,82,45,39,44,46,70,70,104,35,29,18,21,24,21,28,30
2078,93,44,45,51,54,80,77,103,37,28,27,26,21,23,33,32,86,42,41,53,51,67,74,102,33,29,25,33,23,24,31,30
2079,88,47,51,53,52,74,86,113,37,28,34,36,27,34,30,30,87,54,44,50,50,71,72,103,37,36,23,29,23,22,32,25
2080,85,61,48,54,59,77,75,101,31,35,23,25,22,23,24,28,88,57,50,46,54,74,78,105,40,35,31,26,24,25,27,24
2081,75,37,42,43,54,68,67,104,37,28,20,25,28,20,27,29,87,45,52,49,56,68,70,110,36,32,31,27,31,22,30,33
