,Gurgiser_avg_45,Climandes_avg_45,Garcia_avg_45,Bucket_avg_45,Liebmann_avg_45,Cook&Buckley_avg_45,Gurgiser_std_45,Climandes_std_45,Garcia_std_45,Bucket_std_45,Liebmann_std_45,Cook&Buckley_std_45,Gurgiser_avg_85,Climandes_avg_85,Garcia_avg_85,Bucket_avg_85,Liebmann_avg_85,Cook&Buckley_avg_85,Gurgiser_std_85,Climandes_std_85,Garcia_std_85,Bucket_std_85,Liebmann_std_85,Cook&Buckley_std_85
2076,267,267,265,300,228,243,21,21,23,17,14,17,262,263,268,299,230,244,17,19,17,13,13,15
2077,268,267,267,299,229,242,24,24,17,14,14,11,261,261,269,300,227,243,11,11,15,11,10,14
2078,270,270,259,304,232,244,20,20,29,12,12,15,274,273,268,300,231,244,25,25,32,27,14,18
2079,272,272,264,303,229,247,19,19,21,18,17,14,273,273,259,299,232,242,24,24,38,15,14,15
2080,272,272,272,299,227,240,14,14,13,15,14,17,261,261,266,296,232,244,20,20,14,11,19,15
2081,271,271,272,301,230,250,23,23,21,26,19,19,268,268,267,301,229,246,19,19,16,14,12,17
2082,272,271,259,300,230,245,20,21,26,14,14,16,263,262,267,300,228,243,17,19,20,18,15,17
2083,268,267,269,301,230,240,21,22,17,13,13,15,270,270,267,304,233,244,18,18,19,13,14,14
2084,266,266,262,300,227,245,21,21,16,11,13,14,272,272,270,305,229,245,17,17,20,13,16,13
2085,274,272,253,302,229,245,20,18,35,11,11,15,268,267,262,299,227,243,19,19,29,15,17,13
2086,262,262,262,298,227,242,16,16,28,13,15,13,266,266,267,304,232,246,18,18,21,14,14,16
2087,269,269,266,301,231,247,26,26,27,17,16,20,266,265,264,302,233,246,15,16,30,13,13,14
2088,270,270,261,305,227,248,19,19,27,13,15,17,270,270,275,305,228,247,19,18,15,13,14,15
2089,274,274,265,307,233,248,16,15,37,14,15,16,269,269,272,300,225,238,20,20,15,11,15,12
2090,266,265,273,302,233,244,15,15,25,14,12,13,269,268,266,303,228,246,19,21,26,14,13,18
2091,266,266,267,303,230,247,23,23,18,16,14,15,267,267,261,300,231,240,18,18,29,14,12,10
2092,273,272,263,302,228,243,23,23,32,16,16,14,276,273,263,302,231,239,29,32,22,17,14,13
2093,264,264,265,300,231,246,20,20,31,18,19,17,268,267,272,305,234,248,18,18,18,15,14,15
2094,266,266,269,302,229,247,20,20,21,15,13,17,272,272,259,302,231,243,27,27,36,19,14,16
2095,266,266,267,302,231,241,22,22,23,17,13,16,275,275,263,304,225,247,26,26,22,21,20,17
2096,262,262,261,301,233,244,18,21,31,16,17,15,268,268,267,302,228,247,18,18,28,10,14,17
2097,271,270,271,306,237,249,21,20,27,18,16,16,268,268,265,305,233,251,16,16,29,18,18,21
2098,265,263,271,302,233,246,21,23,28,19,16,15,273,274,271,308,234,248,23,23,28,18,11,15
2099,266,266,261,301,232,243,21,21,34,13,16,15,268,268,272,302,231,248,22,21,26,16,12,19
